Well;Position;Cell_id
14;179;378
14;180;389
14;180;390
14;180;391
14;180;392
14;181;393
14;181;394
14;181;395
14;181;396
14;181;397
14;181;398
14;181;399
14;181;400
14;181;401
14;181;402
14;181;403
14;181;404
14;181;405
14;181;406
14;182;407
14;182;408
14;182;409
14;182;410
14;182;411
14;182;412
14;182;413
14;183;414
14;183;415
14;183;416
14;183;417
14;184;418
14;184;419
14;184;420
14;184;421
14;184;422
14;184;423
14;185;424
14;185;425
14;185;426
14;185;427
14;186;428
14;186;429
14;186;430
14;186;431
14;186;432
14;187;433
14;187;434
14;187;435
14;188;436
14;188;437
14;188;438
14;188;439
14;188;440
14;189;441
14;189;442
14;189;443
14;189;444
14;189;445
14;189;446
14;189;447
14;189;448
14;189;449
15;190;455
15;190;456
15;190;457
15;190;458
15;190;459
15;190;460
15;190;461
15;191;462
15;191;463
15;191;464
15;191;465
15;191;466
15;191;467
15;192;468
15;192;469
15;192;470
15;192;471
15;192;472
15;192;473
15;193;474
15;193;475
15;193;476
15;193;477
15;193;478
15;194;479
15;194;480
15;194;481
15;194;482
15;194;483
15;194;484
15;194;485
15;194;486
15;194;487
15;195;488
15;195;489
15;195;490
15;195;491
15;195;492
15;195;493
15;195;494
15;195;495
15;196;496
15;196;497
15;196;498
15;196;499
15;196;500
15;197;501
15;197;502
15;197;503
15;197;504
15;197;505
15;197;506
15;197;507
15;197;508
15;198;509
15;198;510
15;198;511
15;198;512
15;198;513
15;199;514
15;199;515
15;199;516
15;199;517
15;199;518
15;200;533
15;200;534
15;200;535
15;200;536
15;200;537
15;200;538
15;200;539
15;200;540
15;200;541
15;200;542
15;200;543
15;201;544
15;201;545
15;201;546
15;201;547
15;201;548
15;201;549
22;274;596
22;274;597
22;274;598
22;274;599
22;274;600
22;274;601
22;274;602
22;274;603
22;274;604
22;275;605
22;275;606
22;275;607
22;275;608
22;275;609
22;275;610
22;275;611
22;275;612
22;276;613
22;276;614
22;276;615
22;276;616
22;276;617
22;276;618
22;276;619
22;276;620
22;276;621
22;276;622
22;277;623
22;277;624
22;277;625
22;277;626
22;278;627
22;278;628
22;278;629
22;278;630
22;278;631
22;278;632
22;278;633
22;278;634
22;279;635
22;279;636
22;279;637
22;279;638
22;279;639
22;279;640
22;279;641
22;279;642
22;279;643
22;280;657
22;280;658
22;280;659
22;280;660
22;280;661
22;281;662
22;281;663
22;281;664
22;281;665
22;281;666
22;282;667
22;282;668
22;282;669
22;282;670
22;283;671
22;283;672
22;283;673
22;283;674
22;283;675
22;283;676
22;283;677
22;283;678
22;284;679
22;284;680
22;284;681
22;284;682
22;284;683
22;284;684
22;284;685
22;285;686
22;285;687
22;285;688
22;285;689
22;285;690
22;285;691
22;285;692
22;285;693
22;285;694
22;285;695
23;286;696
23;286;697
23;286;698
23;286;699
23;286;700
23;287;701
23;287;702
23;287;703
23;287;704
23;287;705
23;287;706
23;287;707
23;287;708
23;287;709
23;288;710
23;288;711
23;288;712
23;288;713
23;288;714
23;288;715
23;288;716
23;288;717
23;288;718
23;289;719
23;289;720
23;289;721
23;289;722
23;289;723
23;289;724
23;289;725
23;289;726
23;289;727
23;289;728
23;289;729
23;289;730
23;289;731
23;289;732
23;289;733
23;289;734
23;290;739
23;290;740
23;290;741
23;290;742
23;290;743
23;290;744
23;290;745
23;290;746
23;290;747
23;291;748
23;291;749
23;291;750
23;291;751
23;291;752
23;291;753
23;291;754
23;291;755
23;291;756
23;291;757
23;291;758
23;291;759
23;291;760
23;291;761
23;292;762
23;292;763
23;292;764
23;292;765
23;292;766
23;292;767
23;292;768
23;292;769
23;293;770
23;293;771
23;293;772
23;293;773
23;293;774
23;293;775
23;293;776
23;293;777
23;293;778
23;293;779
23;294;780
23;294;781
23;294;782
23;294;783
23;294;784
23;294;785
23;294;786
23;294;787
23;294;788
23;294;789
23;295;790
23;295;791
23;295;792
23;295;793
23;296;794
23;296;795
23;296;796
23;296;797
23;296;798
23;296;799
23;296;800
24;297;801
24;297;802
24;297;803
24;297;804
24;297;805
24;297;806
24;297;807
24;297;808
24;297;809
24;297;810
24;297;811
24;297;812
24;297;813
24;297;814
24;298;815
24;298;816
24;298;817
24;298;818
24;298;819
24;298;820
24;298;821
24;298;822
24;298;823
24;298;824
24;298;825
24;299;826
24;299;827
24;299;828
24;299;829
24;299;830
24;299;831
24;299;832
24;299;833
24;299;834
24;299;835
24;299;836
24;299;837
24;299;838
24;300;851
24;300;852
24;300;853
24;300;854
24;300;855
24;300;856
24;300;857
24;300;858
24;300;859
24;301;860
24;301;861
24;301;862
24;301;863
24;301;864
24;301;865
24;301;866
24;301;867
24;301;868
24;301;869
24;302;870
24;302;871
24;302;872
24;302;873
24;302;874
24;302;875
24;302;876
24;302;877
24;303;878
24;303;879
24;303;880
24;304;881
24;304;882
24;304;883
24;304;884
24;304;885
24;304;886
24;304;887
24;304;888
24;304;889
24;304;890
24;305;891
24;305;892
24;305;893
24;305;894
24;305;895
24;305;896
24;305;897
24;305;898
24;305;899
24;305;900
24;305;901
24;306;902
24;306;903
24;306;904
24;306;905
24;306;906
24;306;907
24;307;908
24;307;909
24;307;910
24;307;911
24;307;912
24;308;913
24;308;914
24;308;915
24;308;916
24;308;917
24;308;918
24;308;919
24;309;920
24;309;921
24;309;922
24;309;923
24;309;924
